address_zip,size,rental_price
4100,21,500
1900,22,517
9810,12,267
3710,84,933
2440,688,3330
5330,50,483
6500,205,5467
7500,53,183
8100,42,183
9720,122,500
10640,1166,3000
11320,55,467
12000,257,433
13200,67,250
14400,39,300
15850,512,2500
16035,90,367
3200,10,333
3020,16,300
3900,17,455
16030,558,1500
16090,336,2167
7840,265,1767
2800,45,297
2970,82,767
2519,63,583
2800,56,629
8400,25,107
3100,100,817
3810,120,1233
3920,140,10359
6140,120,2800
15850,250,967
15520,1489,10000
1330,9,330
1000,300,2500
11560,150,2000
1376,120,1000
2300,366,2440
2080,82,500
3330,33,416.67
3100,115,1000
3020,111,833.33
4250,300,1233.33
5500,122,950
6700,65,1083.33
6000,50,596.67
7300,102,800
8400,135,1166.67
9260,289,4000
9089,180,666.67
10200,75,846.67
11000,289,3666.67
12000,257,433.33
12000,37,283.33
13200,1200,5000
14000,28,163.33
14420,125,800
15500,16,166.67
15520,125,666.67
15900,110,566.67
11560,150,1166.67
1720,198,1200
14300,367,4666.67
6140,280,2166.67
7979,100,400
7968,120,616.67
8610,148,2762.67
6900,60,333.33
2200,12,100
7760,10,116.67
7230,3500,25666.67
3300,15,133.33
7020,60,300
4380,40,133.33
15530,119,500
3100,60,206.7
4300,14,333.3
11550,7,666.7
6760,8,150
14330,10,193.3
15500,16,166.7
2860,12,183.3
7300,47,316.7
1120,610,5707.97
9360,61,316.7
9210,43,266.7
16450,60,233.3
10910,123,460
5010,90,663.3
13020,35,183.3
3710,84,933.3
11320,55,466.7
6000,70,550
3020,90,833.3
10200,230,1340
6140,100,933.3
1080,120,966.7
1050,350,4000
16620,70,500
13210,4650,27433.3
6760,151,1666.7
11950,258,2619.2
11000,278,3666.7
14420,125,1200
6600,160,1333.3
13120,280,1166.7
3020,5,83.3
14370,15,500
15400,11,200
1900,40,833.33
1040,41,56.67
1900,119,1066.67
1000,245,3166.67
5384,1056,18000
1000,90,1133.67
1330,317,1833.33
1210,1136,11640.2
5384,360,4833.33
1900,450,4000
1219,70,850
1430,58,283
1700,27,717
1376,130,1663
1710,150,1002
1600,400,1933
1180,759,6123
3100,229,2833
3020,200,1233
3020,90,833
3300,62,400
3800,85,600
3570,40,267
3020,20,383
3500,63,1000
3020,18,400
3660,535,3267
6140,120,2800
6500,280,6000
6040,41,683
6500,220,1850
6760,20,483
6500,205,5467
6600,178,1667
6470,50,467
6000,16,133
4320,553,4767
4930,300,1500
4360,100,650
4700,84,883
4010,36,773
4000,34,567
4650,170,5000
4400,50,500
4100,180,1667
4100,561,4333
11920,220,1500
11000,289,3667
11520,115,1600
11560,105,1267
11540,67,1110
11560,195,8450
11550,110,1067
11320,500,4333
3410,60,15000
3400,55,12600
3023,181,37000
3500,80,18500
8810,35,8300
8200,55,13500
8220,100,14000
3440,68,16000
1000,89,34010
2080,245,45000
6600,150,36500
7000,20,8000
11530,180,55800
6760,185,70000
11850,177,54000
14210,500,120000
3300,114,27000
11500,290,68000
14420,220,32000
7300,250,35000
6100,217,60000
11650,236,50000
1080,400,40000
9470,220,20000
8310,450,50000
1210,1800,150000
8760,200,26500
7340,317,65000
14266,351,50000
14646,200,29000
11590,130,34000
14240,450,40000
4000,1500,52200
5100,350,175000
1900,580,350000
1600,24,12000
6470,141,45000
6760,72,90000
3100,20,25000
7300,30,15080
4100,351,157950
7440,70,25000
6600,178,50000
3020,179,80000
6800,150,50000
4970,31,13500
11300,70,25000
4260,2100,230000
9360,680,100000
15220,612,153000
7870,527,120000
13360,460,30000
8100,300,41900
1090,178,24650
11000,42,32000
13300,51,140
13300,63,200
13300,28,95
13300,100,360
11320,62,40000
6100,80,28000
6700,70,25000
6600,55,18000
6400,65,40000
6400,69,36000
6300,90,22000
6720,50,12000
1010,200,40000
1120,70,18000
1800,120,15000
7300,100,12000
7700,150,10000
7800,80,8000
7810,60,7000
7820,50,6000
8300,120,8000
8400,90,6000
8500,75,10000
8900,60,5000
9020,100,8000
9510,70,9000
9100,60,5000
9300,120,10000
9700,50,7000
12010,200,5000
12050,150,6000
12100,100,4000
12200,250,8000
14000,120,20000
14300,150,15000
14610,300,20000
14660,80,12000
14870,200,25000
4020,60,12000
4100,60,14000
4430,50,8000
4070,100,15000
5360,90,35000
5239,60,25000
5500,200,30000
5120,100,25000
10200,150,20000
10010,80,16000
10400,200,25000
10500,90,12000
10650,60,9000
13010,100,10000
13400,70,8000
13730,50,5000
15000,200,8000
15100,80,12000
15500,40,5000
15600,100,9000
15800,60,6000
16010,50,3000
16100,100,8000
16200,120,10000
16400,80,6000
16600,40,4000
